Name,Type,Breed,Color,Sex,Size,Date Of Birth,,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
BRAVO,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,03/28/2016,982,K16-019043,LOBBY,A337690,05/28/2016,06/02/2016,5,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
CHARLIE,CAT,DOMESTIC SH,WHITE/BLACK,Neutered,KITTN,03/28/2016,982,K16-019042,LOBBY,A337688,05/28/2016,06/02/2016,5,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
*JANE,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,03/29/2016,981,K16-018841,LOBBY,A337043,05/13/2016,06/15/2016,33,TRANSFER,MUN_SHELT,ADOPTION,WALKIN,HEALTHY,HEALTHY,OUT OF COUNTY,COUNTY,95404,"95404(38.458384, -122.675588)",1
*ANNIE,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,03/29/2016,981,K16-018842,LOBBY,A337044,05/13/2016,06/15/2016,33,TRANSFER,MUN_SHELT,ADOPTION,WALKIN,HEALTHY,HEALTHY,OUT OF COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*BUTCH,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,03/29/2016,981,K16-018843,LOBBY,A337045,05/13/2016,06/14/2016,32,TRANSFER,MUN_SHELT,ADOPTION,INTERNET,HEALTHY,HEALTHY,OUT OF COUNTY,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
*SUNDANCE,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,03/29/2016,981,K16-018844,WESTFARM,A337046,05/13/2016,06/23/2016,41,TRANSFER,MUN_SHELT,ADOPTION,WESTFARM,HEALTHY,HEALTHY,OUT OF COUNTY,COUNTY,94923,"94923(38.336423, -123.040451)",1
*DOC,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,03/29/2016,981,K16-018845,LOBBY,A337047,05/13/2016,06/17/2016,35,TRANSFER,MUN_SHELT,ADOPTION,WALKIN,HEALTHY,HEALTHY,OUT OF COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*LOUIS,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,03/30/2016,980,K16-018645,LOBBY,A336398,04/28/2016,06/10/2016,43,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95401,"95401(38.446019, -122.766748)",1
*WYATT,CAT,DOMESTIC SH,WHITE/BRN TABBY,Neutered,KITTN,03/30/2016,980,K16-018647,LOBBY,A336400,04/28/2016,06/10/2016,43,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*DOLLY,CAT,DOMESTIC SH,CALICO/WHITE,Spayed,KITTN,03/30/2016,980,K16-018648,LOBBY,A336401,04/28/2016,06/10/2016,43,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*MOLLY,CAT,DOMESTIC LH,GRAY/WHITE,Spayed,SMALL,03/31/2016,979,K17-022980,CA02,A350375,03/31/2017,06/07/2017,68,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*MARALYN,CAT,DOMESTIC MH,TORTIE/WHITE,Spayed,KITTN,04/02/2016,977,K16-019123,LOBBY,A337897,06/02/2016,06/14/2016,12,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95501,"95501(40.793421, -124.157467)",1
*JOAN,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,04/02/2016,977,K16-019121,LOBBY,A337895,06/02/2016,06/14/2016,12,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*CLOVERDALE,95425,"95425(38.790859, -123.010876)",1
*ANNE,CAT,DOMESTIC SH,TORTIE/WHITE,Spayed,KITTN,04/02/2016,977,K16-019122,LOBBY,A337896,06/02/2016,06/14/2016,12,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*CLOVERDALE,95425,"95425(38.790859, -123.010876)",1
*ANDREA,CAT,DOMESTIC SH,TORTIE PT,Spayed,SMALL,04/03/2016,976,K16-020852,MAC,A342586,09/22/2016,10/15/2016,23,STRAY,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94065,"94065(37.534305, -122.247522)",1
*HOMER,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,04/04/2016,975,K16-021023,CA02,A343185,10/04/2016,10/15/2016,11,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
*SHELDON,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,04/05/2016,974,K16-021377,CA02,A344645,10/28/2016,11/12/2016,15,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
*RAJ,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Neutered,SMALL,04/05/2016,974,K16-021370,WESTFARM,A344638,10/28/2016,11/08/2016,11,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
*DOROTHY,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,04/07/2016,972,K16-019171,LOBBY,A338002,06/04/2016,07/13/2016,39,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
*SPRINKLES,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,04/07/2016,972,K16-019165,LOBBY,A337996,06/04/2016,07/02/2016,28,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95404,"95404(38.458384, -122.675588)",1
*DOUGLAS,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,04/07/2016,972,K16-019528,MAC,A339152,07/01/2016,07/09/2016,8,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
*CUPCAKE,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,04/07/2016,972,K16-019162,LOBBY,A337993,06/04/2016,06/30/2016,26,STRAY,COMM CAT,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
*BONNIE,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,04/09/2016,970,K16-019367,LOBBY,A338618,06/21/2016,06/25/2016,4,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472(38.394388, -122.850998)",1
*CHUCK,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,04/09/2016,970,K16-019382,LOBBY,A338653,06/22/2016,06/25/2016,3,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
ASLAND,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,04/09/2016,970,K16-019366,LOBBY,A338617,06/21/2016,06/28/2016,7,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*TASHA,CAT,SIAMESE,SEAL PT,Spayed,SMALL,04/11/2016,968,K17-022994,CA02,A350410,04/01/2017,04/11/2017,10,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95404,"95404(38.458384, -122.675588)",1
*BRANDO,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,04/12/2016,967,K16-019752,CS04,A339512,07/12/2016,07/23/2016,11,STRAY,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448(38.618857, -122.861927)",1
TASSIA,CAT,DOMESTIC SH,WHITE/GRAY TABBY,Spayed,SMALL,04/12/2016,967,K16-019755,WESTFARM,A339515,07/12/2016,07/16/2016,4,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*BOBBY,CAT,SIAMESE,SEAL PT,Neutered,KITTN,04/12/2016,967,K16-019749,CS04,A339510,07/12/2016,07/23/2016,11,STRAY,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,COUNTY,COUNTY,95436,"95436(38.491884, -122.90672)",1
WINSTON,CAT,DOMESTIC SH,WHITE/BRN TABBY,Neutered,SMALL,04/12/2016,967,K16-019754,WESTFARM,A339514,07/12/2016,07/16/2016,4,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*BILLY,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,04/12/2016,967,K16-019738,CS04,A339498,07/12/2016,07/16/2016,4,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
CLEO,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,SMALL,04/13/2016,966,K16-021630,CA02,A341452,11/19/2016,12/29/2016,40,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95412,"95412(38.705157, -123.351858)",1
*CHARLIE,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,04/13/2016,966,K16-020978,CS04,A343075,10/01/2016,10/18/2016,17,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
DIABLA,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,04/13/2016,966,K16-019340,LOBBY,A338579,06/18/2016,07/02/2016,14,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*LEO,CAT,DOMESTIC LH,ORG TABBY,Neutered,SMALL,04/13/2016,966,K18-027845,CA02,A370839,04/13/2018,06/16/2018,64,STRAY,FIELD,ADOPTION,FB SCAS,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95452,"95452(38.416879, -122.549913)",1
CASPER,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,04/15/2016,964,K16-019682,CS04,A339387,07/08/2016,07/23/2016,15,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472(38.394388, -122.850998)",1
DENISA,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,04/15/2016,964,K16-019712,CS04,A339432,07/09/2016,07/23/2016,14,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
LUCKY,CAT,DOMESTIC SH,BRN TIGER,Spayed,KITTN,04/15/2016,964,K16-019714,CS04,A339435,07/09/2016,07/23/2016,14,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
TAFFY,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,04/15/2016,964,K16-019713,CS04,A339434,07/09/2016,07/16/2016,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
*LOKI,CAT,DOMESTIC SH,ORANGE/WHITE,Neutered,SMALL,04/16/2016,963,K18-027762,WESTFARM,A370666,04/07/2018,04/18/2018,11,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC SH,GRAY,Spayed,KITTN,04/16/2016,963,K16-019307,TX,A338488,06/16/2016,06/25/2016,9,STRAY,FIELD,ADOPTION,FINDER,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,04/16/2016,963,K16-019308,TX,A338489,06/16/2016,06/25/2016,9,STRAY,FIELD,ADOPTION,FINDER,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
*PEPPER,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,04/16/2016,963,K16-018860,LOBBY,A337097,05/16/2016,06/18/2016,33,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
*VALLAD,CAT,SIAMESE,LYNX PT,Neutered,KITTN,04/17/2016,962,K16-018874,LOBBY,A337117,05/17/2016,06/16/2016,30,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
*ELISA,CAT,SIAMESE,LYNX PT,Spayed,KITTN,04/17/2016,962,K16-018873,LOBBY,A337116,05/17/2016,06/17/2016,31,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
OSCAR,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,04/17/2016,962,K17-023043,SMM,A350929,04/06/2017,04/20/2017,14,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*D'ARTAGNAN,CAT,MANX,BRN TABBY/WHITE,Neutered,SMALL,04/18/2016,961,K18-027731,WESTFARM,A370598,04/03/2018,04/30/2018,27,STRAY,FIELD,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*CONNER,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,04/18/2016,961,K16-019341,WESTFARM,A338580,06/18/2016,06/30/2016,12,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95409,"95409(38.458965, -122.630156)",1
*PETER,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,04/18/2016,961,K16-019342,WESTFARM,A338581,06/18/2016,07/06/2016,18,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95409,"95409(38.458965, -122.630156)",1
AMAYA,CAT,DOMESTIC SH,GRAY,Spayed,SMALL,04/18/2016,961,K18-027766,CA02,A370670,04/07/2018,04/28/2018,21,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*D'ARTAGNAN,CAT,MANX,BRN TABBY/WHITE,Neutered,SMALL,04/18/2016,961,K18-028100,CA02,A370598,05/02/2018,06/05/2018,34,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
KIDDO KAT,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,04/19/2016,960,K17-023059,CA02,A350999,04/08/2017,04/26/2017,18,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*PLUTO,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,04/20/2016,959,K16-019339,LOBBY,A338578,06/18/2016,06/24/2016,6,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448(38.618857, -122.861927)",1
LOUISA DOVE,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,SMALL,04/20/2016,959,K17-023116,CA02,A351103,04/13/2017,05/06/2017,23,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
*HAYMITCH,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,04/20/2016,959,K16-019343,LOBBY,A338582,06/18/2016,06/24/2016,6,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448(38.618857, -122.861927)",1
*BRONSEN,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,04/20/2016,959,K16-019737,WESTFARM,A339497,07/12/2016,07/22/2016,10,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
*CROSBY,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,04/21/2016,958,K16-019424,LOBBY,A338739,06/25/2016,08/02/2016,38,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95492,"95492(38.541541, -122.809202)",1
*BEN,CAT,DOMESTIC LH,SEAL PT,Neutered,SMALL,04/21/2016,958,K16-019901,CS04,A339992,07/21/2016,07/26/2016,5,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94954,"94954(38.245316, -122.59871)",1
SNICKERS,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,04/21/2016,958,K16-019902,MISSING,A339993,07/21/2016,07/28/2016,7,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
PANDA,CAT,DOMESTIC MH,BLACK/WHITE,Neutered,KITTN,04/22/2016,957,K16-019415,CS04,A338719,06/24/2016,07/26/2016,32,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*SASSY,CAT,DOMESTIC MH,BLUE CREAM/CALICO,Spayed,KITTN,04/22/2016,957,K16-019395,LOBBY,A338674,06/23/2016,06/30/2016,7,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
ELMO,CAT,DOMESTIC SH,BUFF/WHITE,Neutered,KITTN,04/22/2016,957,K16-019411,LOBBY,A338703,06/24/2016,07/02/2016,8,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
*SEAN,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,04/22/2016,957,K16-019257,LOBBY,A338204,06/11/2016,07/13/2016,32,STRAY,COMM CAT,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
*DAENERYS TARGARYEN,CAT,SIAMESE/DOMESTIC LH,LYNX PT,Spayed,KITTN,04/22/2016,957,K16-019324,LOBBY,A338535,06/17/2016,07/08/2016,21,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL,TREATABLE/REHAB,HEALTHY,SANTA ROSA,OUT OF COUNTY,95762,"95762(38.682162, -121.064452)",1
*MIA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,04/23/2016,956,K16-019169,LOBBY,A338000,06/04/2016,07/08/2016,34,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95446,"95446(38.510032, -122.996796)",1
*FOSTER,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,04/23/2016,956,K16-019168,LOBBY,A337999,06/04/2016,07/08/2016,34,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
*ROGER,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,04/23/2016,956,K16-019170,LOBBY,A338001,06/04/2016,06/16/2016,12,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448(38.618857, -122.861927)",1
*SAMPSON,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,04/24/2016,955,K16-019130,WESTFARM,A337904,06/02/2016,07/08/2016,36,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*TODD,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,KITTN,04/24/2016,955,K16-019127,WESTFARM,A337901,06/02/2016,07/07/2016,35,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95425,"95425(38.790859, -123.010876)",1
WHISKERS,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,04/25/2016,954,K16-018990,LOBBY,A337590,05/25/2016,07/12/2016,48,CONFISCATE,FLD_ARREST,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
SPOOK,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,04/26/2016,953,K16-019017,CS04,A337636,05/26/2016,07/23/2016,58,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95472,"95472(38.394388, -122.850998)",1
*MISTY,CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,04/26/2016,953,K16-019021,WESTFARM,A337640,05/26/2016,07/22/2016,57,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
JENNA,CAT,DOMESTIC SH,ORG TABBY,Spayed,KITTN,04/26/2016,953,K16-018899,TX,A337155,05/18/2016,08/11/2016,85,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95492,"95492(38.541541, -122.809202)",1
*SAM,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,04/26/2016,953,K16-019020,CS04,A337639,05/26/2016,07/20/2016,55,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*FINNIC,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,04/26/2016,953,K16-019018,LOBBY,A337637,05/26/2016,06/24/2016,29,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*THERESA,CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,04/26/2016,953,K16-018898,RECEIVING,A337154,05/18/2016,08/16/2016,90,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*BUSTER,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,04/28/2016,951,K16-019946,CS04,A340098,07/26/2016,08/02/2016,7,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
*GINGER,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,04/29/2016,950,K16-019124,LOBBY,A337898,06/02/2016,07/06/2016,34,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
*CINNAMON,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,04/29/2016,950,K16-019129,LOBBY,A337903,06/02/2016,07/07/2016,35,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95492,"95492(38.541541, -122.809202)",1
SNOWMAN,CAT,DOMESTIC MH,WHITE/BLACK,Neutered,SMALL,04/29/2016,950,K17-023312,CA02,A352176,04/29/2017,05/30/2017,31,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/MANAGEABLE,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
*STEVE,CAT,DOMESTIC SH,ORG TABBY/WHITE,Neutered,KITTN,04/30/2016,949,K16-020406,LOBBY,A341271,08/20/2016,10/07/2016,48,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95446,"95446(38.510032, -122.996796)",1
*DANTE,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,05/01/2016,948,K16-020384,CS04,A341220,08/19/2016,08/26/2016,7,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
*LUCKY,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,05/01/2016,948,K16-020420,CS04,A341309,08/23/2016,09/20/2016,28,STRAY,VET_HOSP,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94948,"94948(38.109189, -122.578257)",1
*PENNY,CAT,DOMESTIC SH,CALICO,Spayed,KITTN,05/01/2016,948,K16-020386,CS04,A341222,08/19/2016,08/25/2016,6,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95446,"95446(38.510032, -122.996796)",1
*AMY,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,05/01/2016,948,K16-020387,CS04,A341223,08/19/2016,08/26/2016,7,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
*PHILLIP,CAT,DOMESTIC SH/MIX,BLK SMOKE/WHITE,Neutered,KITTN,05/01/2016,948,K16-020241,CA02,A340730,08/11/2016,02/16/2017,189,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,HEALTHY,WINDSOR,*PETALUMA,94954,"94954(38.245316, -122.59871)",1
